"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0.82,0.38,1.57,0.59,0.25,0.75,0.31,1.57,0.7,0.22,9.29
1.07,0.52,2.26,0.9,0.45,0.94,0.22,2.58,1.08,0.38,13.63
1.46,0.56,3.37,1.22,0.78,1.22,0.28,5.7,1.67,0.61,17.96
1,0.52,1.81,0.81,0.4,0.85,0.38,1.64,1.1,0.34,13.3
1.37,0.67,2.63,1.17,0.73,1.11,0.44,3.28,1.71,0.59,16.37
1.82,0.78,3.88,1.5,1.15,1.37,0.55,5.58,2.53,0.84,20.65
1.13,0.59,2,0.98,0.52,0.92,0.4,1.98,1.37,0.43,13.94
1.5,0.84,2.95,1.33,0.86,1.17,0.55,3.37,2.08,0.7,16.78
2.03,1,3.98,1.66,1.37,1.47,0.72,5.95,3.02,1.01,22.16
